,X_1,epsilon_2,sigma_2,mass_2,k_12,BoxLength,Dself_1,Dself_1_err,Dself_2,Dself_2_err,Viscosity,Viscosity_err,num_particles,visc_rel_err,zeta
57,0.3,0.8,1.6,4.096,0.05,12.6394,0.07366,0.00013,0.03884,3e-05,1.362,0.017,500,1.2481644640234948,0.41064329945249434
58,0.3,0.8,1.6,4.096,0.0,12.6065,0.07016,7e-05,0.03728,5e-05,1.439,0.019,500,1.3203613620569838,0.4138667445584154
59,0.3,0.8,1.6,4.096,-0.3,12.4237,0.05047,8e-05,0.02848,7e-05,1.945,0.038,500,1.953727506426735,0.43240553857949837
60,0.3,0.8,1.6,4.096,-0.6,12.2712,0.03559,5e-05,0.02137,3e-05,2.588,0.047,500,1.8160741885625966,0.4487278370889202
61,0.3,0.6,1.6,4.096,0.0,13.1594,0.11651,0.00019,0.06955,9e-05,0.74,0.006,500,0.8108108108108107,0.36386128665086853
62,0.3,0.6,1.6,4.096,-0.3,12.8457,0.08605,0.00015,0.05307,8e-05,0.989,0.013,500,1.314459049544995,0.39117472839865514
63,0.3,0.6,1.6,4.096,-0.6,12.6068,0.06317,7e-05,0.04079,2e-05,1.317,0.016,500,1.2148823082763858,0.41383719929662155
64,0.3,0.5,1.6,4.096,-0.6,12.9133,0.08667,0.00013,0.05894,0.00012,0.885,0.007,500,0.7909604519774012,0.3850635350772548
65,0.3,1.0,1.4,2.744,0.05,10.9539,0.03875,9e-05,0.02318,4e-05,2.705,0.037,500,1.3678373382624767,0.44235583451237875
66,0.3,1.0,1.4,2.744,0.0,10.9333,0.03655,6e-05,0.02206,3e-05,2.849,0.029,500,1.017901017901018,0.4448609456042644
67,0.3,1.0,1.4,2.744,-0.3,10.8151,0.02412,3e-05,0.0157,3e-05,4.137,0.073,500,1.7645636934977038,0.45960681226170524
68,0.3,1.0,1.4,2.744,-0.6,10.7143,0.01512,2e-05,0.01054,2e-05,6.373,0.092,500,1.4435901459281342,0.47270116006229623
69,0.3,0.8,1.4,2.744,0.05,11.1973,0.06055,5e-05,0.03947,3e-05,1.559,0.018,500,1.1545862732520846,0.4141313739735218
70,0.3,0.8,1.4,2.744,0.0,11.1674,0.05755,8e-05,0.0377,4e-05,1.644,0.023,500,1.3990267639902676,0.4174667191116039
71,0.3,0.8,1.4,2.744,-0.3,11.0014,0.04037,7e-05,0.02784,4e-05,2.279,0.032,500,1.4041246160596754,0.4366507485125381
72,0.3,0.8,1.4,2.744,-0.6,10.8646,0.02737,6e-05,0.02004,3e-05,3.212,0.046,500,1.4321295143212949,0.4533533722834366
73,0.3,0.6,1.4,2.744,0.0,11.6287,0.09649,0.00016,0.07002,0.00011,0.862,0.015,500,1.740139211136891,0.3697299018812412
74,0.3,0.6,1.4,2.744,-0.3,11.3416,0.06988,0.00011,0.05168,8e-05,1.184,0.012,500,1.0135135135135136,0.3985245649593711
75,0.3,0.6,1.4,2.744,-0.6,11.1313,0.05003,8e-05,0.03851,2e-05,1.632,0.022,500,1.3480392156862744,0.4215415738370132
76,0.3,0.5,1.4,2.744,-0.3,11.6717,0.09669,0.00017,0.07515,9e-05,0.799,0.009,500,1.1264080100125156,0.3656585448198394
77,0.3,0.5,1.4,2.744,-0.6,11.3658,0.06945,7e-05,0.0553,8e-05,1.104,0.011,500,0.9963768115942027,0.3959843721529698
78,0.3,1.0,1.2,1.728,0.05,9.6221,0.03157,4e-05,0.02402,4e-05,3.097,0.031,500,1.0009686793671295,0.4436300085156118
79,0.3,1.0,1.2,1.728,0.0,9.6011,0.02931,5e-05,0.02255,3e-05,3.326,0.044,500,1.3229104028863499,0.4465473685953805
80,0.3,1.0,1.2,1.728,-0.3,9.4925,0.01808,5e-05,0.0149,3e-05,5.323,0.106,500,1.9913582566222052,0.46204970400733786
